,AS51 Index,,BHP AT Equity,,,,,CSL AT Equity,,,,,RIO AT Equity,,,,,CBA AT Equity,,,,,WOW AT Equity,,,,,WES AT Equity,,,,,TLS AT Equity,,,,,AMC AT Equity,,,,,BXB AT Equity,,,,,FPH AT Equity,,,,
15/4/15,-0.6413,5908.418,1.3393,27.5771,27.7323,7625433,155061.3892,-0.2301,95.4,95.3681,875433,44738.5765,1.583,55.83,56.0948,2565186,103315.6074,-1.4499,92.046,92.3636,3312164,150454.676,-0.7189,29,29.0362,5163954,36631.4958,-1.0274,31.1663,31.1712,2291853,48703.5662,-1.4331,6.19,6.2168,23243113,75676.8122,-1.5668,14.45,14.4951,3238914,17365.3316,0.8518,11.84,11.8279,4050607,18552.0211,1.7699,6.9,6.8623,182148,3849.9322
16/4/15,0.6737,5947.473,2.4399,28.25,28.1821,8116698,156544.0957,-0.5975,94.83,95.192,931367,44471.2705,0.0716,55.87,55.9726,2150100,100479.057,0.6166,92.6136,92.7257,1992333,151382.4039,0,29,28.9849,5268440,36631.4958,0.5998,31.3533,31.2301,2226657,48995.6753,0.6462,6.23,6.2197,24860855,76165.8384,0.4152,14.51,14.4678,2310087,17437.4368,-0.3378,11.8,11.8151,4499117,18489.3454,-0.5797,6.86,6.8349,258574,3827.6137
17/4/15,-1.1703,5877.87,-0.8601,28.007,27.9701,6126069,154941.9212,-0.812,94.06,94.1049,832389,44110.173,-1.3961,55.09,55.0137,2063843,99278.0792,-0.9999,91.6876,91.8761,2104327,149868.7426,-1.6207,28.53,28.655,5052062,36037.813,-1.3988,30.9147,31.034,2185802,48310.3425,-1.4446,6.14,6.1557,32516887,75065.5294,-0.7581,14.4,14.4192,3012385,17305.2439,-1.9492,11.57,11.6328,4185737,18128.9598,0,6.86,6.8607,92837,3827.6401
20/4/15,-0.7614,5833.118,-0.5005,27.8668,27.922,5091432,156160.7755,-1.1269,93,92.9261,726445,43613.0777,-0.7805,54.66,54.978,1851847,101393.0366,-0.8145,90.9408,90.9233,2244806,148648.048,-1.6824,28.05,28.1568,3328875,35431.4986,-1.1395,30.5624,30.6068,1331037,47759.8293,0.4886,6.17,6.1613,22704424,75432.2991,-0.6944,14.3,14.2953,2749685,17185.0686,-2.2472,11.31,11.3402,2883776,17721.5675,-2.1866,6.71,6.7138,179984,3743.9453
21/4/15,0.6725,5872.343,2.6157,28.5958,28.5026,6390410,158069.6132,-0.2043,92.81,92.5426,835414,43408.5637,1.5368,55.5,55.5904,2532765,100256.0571,0.4927,91.3888,91.4505,2510649,149380.4647,1.1052,28.36,28.3435,3570697,35823.0766,0.541,30.7278,30.7792,1195411,48018.2335,0.3241,6.19,6.2168,21906632,75676.8122,0.1399,14.32,14.3178,2482226,17209.1037,-2.3873,11.04,11.0324,6303894,17298.5736,-0.149,6.7,6.6941,205534,3738.4237
22/4/15,-0.5935,5837.493,-1.0784,28.2874,28.1264,6082148,157777.2552,-0.2263,92.6,92.6372,944090,43310.3437,-0.5405,55.2,54.8293,1839003,101460.5929,-0.7191,90.7316,90.7925,2354266,148306.2535,-0.3526,28.26,28.306,3712102,35696.7611,-0.6785,30.5193,30.4936,1805747,47692.4195,0.9693,6.25,6.2416,28506752,76410.3516,-0.6285,14.23,14.2563,2529005,17100.9459,-1.5399,10.87,10.8899,5026255,17032.2006,-1.3433,6.61,6.6108,218735,3688.2061
23/4/15,0.1266,5844.772,2.6098,29.0256,28.9284,10321174,162302.7174,1.3175,93.82,93.2069,1335464,43880.9551,1.9928,56.3,56.2415,2781342,104503.7525,-0.439,90.3334,90.4314,2351784,147655.2164,-0.5662,28.1,28.1679,3741698,35494.6563,-0.7538,30.2892,30.264,2065306,47332.9007,0.16,6.26,6.247,18721267,76532.6081,-1.1244,14.07,14.0656,3234812,16908.6654,-0.276,10.84,10.7858,3869429,16985.1936,-2.8744,6.42,6.4519,385260,3582.1911
24/4/15,1.5145,5933.291,3.1874,29.9508,29.8304,13814489,167000.6508,1.4816,95.21,94.9619,2073187,44531.078,2.6465,57.79,57.6405,4558093,106620.7535,1.5212,91.7075,91.4563,5630361,149901.2944,2.8826,28.91,28.7721,4755854,36617.8464,1.1868,30.6487,30.57,3357019,47894.6489,0.9585,6.32,6.3053,36102357,77266.1475,1.2793,14.25,14.2226,3692454,17124.981,1.845,11.04,11.0109,4855370,17298.7218,-0.6231,6.38,6.3662,466915,3559.8722
27/4/15,0.8326,5982.694,1.6225,30.4367,30.4642,7095188,168852.863,0.0735,95.28,95.6938,810036,44563.818,3.4262,59.77,59.4109,3115964,107718.6157,0.6732,92.3248,92.0738,1864964,150910.402,1.1069,29.23,29.1602,2637562,37023.1633,1.2667,31.0369,30.9906,1285046,48501.3369,1.1076,6.39,6.3682,17857517,78121.9434,-1.4737,14.04,14.0596,4840398,16872.6128,-0.6341,10.97,10.954,4585937,17189.0379,1.5674,6.48,6.4428,133960,3615.6695
28/4/15,-0.5708,5948.543,-0.4605,30.2965,30.4118,6395024,168296.9977,-1.6268,93.73,93.9144,1821964,43838.8608,-1.6396,58.79,59.0903,2204153,105200.2375,-0.151,92.1854,92.3402,1926008,150682.539,1.9501,29.8,29.6767,5919105,37745.134,-0.0463,31.0226,31.0502,2780409,48478.867,-0.313,6.37,6.3716,18398486,77877.4303,-0.9972,13.9,13.9088,4268959,16704.3674,-0.2735,10.94,10.982,5207826,17142.0305,-2.9321,6.29,6.3102,472905,3509.6545
29/4/15,-1.8485,5838.583,-1.1721,29.9414,30.1501,9725939,166240.7787,-2.9126,91,91.6697,2062431,42562.0008,-1.837,57.71,58.1436,2063054,103250.6136,-2.1711,90.184,90.9315,2660422,147411.0775,-1.9463,29.22,29.4058,3864663,37010.4971,-0.3476,30.9147,30.9342,3755925,48310.3425,-0.7849,6.32,6.3306,21641544,77266.1475,-2.5899,13.54,13.6029,6212511,16271.7363,-1.3711,10.79,10.8643,4487764,16906.9935,-0.9539,6.23,6.2344,527999,3476.1761
30/4/15,-0.8324,5789.983,-0.2185,29.876,29.9122,8797471,166662.0493,-0.022,90.98,90.7877,1442479,42552.6465,-0.9704,57.15,56.9949,1693233,103126.8097,-1.877,88.4912,88.5647,3947220,144644.1698,0.8898,29.48,29.3086,5052080,37339.8171,1.6512,31.4252,31.2391,4271366,49108.0249,-1.4241,6.23,6.223,30459665,76165.8384,-0.0739,13.53,13.466,4257737,16259.7188,0.3707,10.83,10.7788,4725990,16969.67,-0.4815,6.2,6.169,156618,3459.4369
1/5/15,0.4217,5814.4,1.6578,30.3713,30.3512,7260139,169977.1176,-1.0662,90.01,90.0212,1345449,42098.9636,1.9948,58.29,58.2525,1998172,106321.569,0.0563,88.541,88.4805,2324929,144725.5494,-1.6282,29,29.1394,4071047,36731.8418,-0.1601,31.3748,31.3243,1946953,49029.3802,0.1605,6.24,6.2251,24042647,76288.095,0.1478,13.55,13.5247,2785787,16283.7539,1.385,10.98,10.9423,4142372,17204.707,3.0645,6.39,6.3538,643255,3565.471
4/5/15,0.226,5827.538,2.6154,31.1656,30.9884,10881948,172707.0551,1.3776,91.25,91.2974,894141,42678.9294,2.7621,59.9,59.5817,2497633,107004.5188,-1.0234,87.6349,87.5159,3016359,143244.44,2.069,29.6,29.5125,3021735,37491.8109,1.5124,31.8493,31.8225,2139980,49770.8878,1.1218,6.31,6.2967,19397669,77143.8909,1.6974,13.78,13.7384,4500756,16560.1571,1.4572,11.14,11.1804,3747587,17455.4131,0.7825,6.44,6.4061,94924,3593.3698
5/5/15,-0.0175,5826.52,-2.3688,30.4274,30.6406,9891736,169618.3575,0.3068,91.53,91.9324,1132461,42809.8894,-0.7012,59.48,59.7692,1888907,106366.9378,0.1477,87.7643,88.3469,3099036,143456.0271,0.1014,29.63,29.7666,4340949,37529.8094,0.6321,32.0507,32.0199,2171856,50085.4667,1.1094,6.38,6.3676,40779898,77999.6869,-0.508,13.71,13.8012,3797230,16476.0343,-1.9749,10.92,11.0121,4707379,17110.6922,0.1553,6.45,6.4296,549333,3598.9496
6/5/15,-2.3,5692.16,-0.645,30.2311,30.3421,7478222,168202.0291,-1.5842,90.08,90.4729,1530893,42131.7036,-0.6052,59.12,59.2439,1570654,105995.7774,-5.8543,82.6263,83.8991,7229089,135057.6483,-5.0287,28.14,28.3538,11415127,35642.5527,-0.5159,31.8853,31.8046,3266011,49827.0626,-2.3511,6.23,6.2765,30165317,76165.8384,-1.3858,13.52,13.5726,2997145,16247.7013,-0.8242,10.83,10.8284,6254979,16969.67,-3.5659,6.22,6.2216,166733,3470.615
7/5/15,-0.8164,5645.69,-1.4219,29.8013,29.8968,7433950,164889.5969,-0.0777,90.01,90.0962,999603,42098.9636,-0.9811,58.54,58.7319,1760721,105222.5237,0.1567,82.7558,81.9791,6297247,135269.2354,-2.0256,27.57,27.6843,10353240,34920.582,-1.2401,31.4899,31.4803,3860736,49209.1396,-1.2841,6.15,6.1566,38855419,75187.7859,-0.5178,13.45,13.4149,4370049,16163.5785,-0.7387,10.75,10.7741,3628654,16844.317,-1.7685,6.11,6.1208,99996,3409.2375
8/5/15,0.0406,5634.557,-1.8501,29.2499,29.4059,10380296,164786.4419,-0.3888,89.66,89.7811,1113650,41935.2636,-0.1879,58.43,58.5268,1442670,107131.8529,-0.5655,82.2878,83.2451,3201801,134504.2668,-0.6892,27.38,27.5238,5261723,34679.9251,-0.137,31.4467,31.4956,2339427,49141.7298,0.3252,6.17,6.1941,20805096,75432.2991,0.223,13.48,13.4853,3064190,16199.6311,1.5814,10.92,10.8861,4967208,17110.7549,-0.491,6.08,6.0825,136046,3392.4982
11/5/15,-0.1654,5625.236,1.6613,29.7358,29.7695,6272527,167640.1524,-0.5911,89.13,89.3367,705156,41687.3751,0.3252,58.62,58.7761,1383747,108981.298,-0.5687,81.8198,81.9714,2879157,133739.2982,-0.8766,27.14,27.1761,3266408,34375.9375,-0.8916,31.1663,31.2112,4133804,48703.5662,-1.9449,6.05,6.1069,44261867,73965.2203,0.6677,13.57,13.5973,3244239,16307.7889,0.1832,10.94,11.0017,3981654,17142.0933,0.1645,6.09,5.9558,606492,3398.078
12/5/15,0.88,5674.736,2.2313,30.3993,30.2748,8536630,169871.7434,-0.8302,88.39,88.5572,1431043,41341.2665,1.0747,59.25,59.1077,1709863,108048.0266,0.8641,82.5268,82.2324,3108301,134894.8891,2.3213,27.77,27.5126,3552144,35173.9051,0.346,31.2742,31.2348,1785096,48872.0907,0.9917,6.11,6.0445,48933430,74698.7597,0.8843,13.69,13.6853,3106290,16337.8753,1.0969,11.06,11.0542,3566741,17330.1235,-3.1199,5.9,5.91,278561,3292.0624
13/5/15,0.9999,5715.148,-0.0922,30.3713,30.3827,8493619,168678.2777,0.0679,88.45,88.0073,1270358,41369.3293,-0.3882,59.02,58.8205,1604183,106385.7433,1.3272,83.6221,83.42,3052876,136685.2411,2.6287,28.5,28.3072,4103046,36098.5342,1.4943,31.7415,31.6755,2011986,49602.3633,0.6547,6.15,6.1193,20128583,75187.7859,-1.0957,13.54,13.5422,2661006,16158.8628,-0.2712,11.03,11.0207,2584632,17283.116,0,5.9,5.8796,235610,3292.0624
14/5/15,-0.3251,5696.569,-1.6308,29.876,29.8309,7876996,166361.3356,-0.5088,88,87.8559,1279745,41158.8579,-2.2365,57.7,57.8221,1706778,105461.5476,-0.4287,83.2636,83.1841,3792323,136099.3077,0.2807,28.58,28.4073,2654320,36199.8634,0.9513,32.0435,31.8791,2075913,50074.2318,0,6.15,6.1269,19671086,75187.7859,1.4771,13.74,13.6534,4195161,16397.5461,0.9066,11.13,11.0564,4458726,17439.8079,-1.6949,5.8,5.7429,347138,3236.2648
15/5/15,0.9399,5735.495,1.6265,30.362,30.2319,5527242,167789.5021,1.5455,89.36,89.1869,658963,41651.1438,0.6932,58.1,58.0123,1582843,105481.0107,1.3514,84.3888,84.0588,3815881,137938.4875,1.4696,29,28.908,5416507,36731.8418,0.8975,32.331,32.2943,1822368,50523.6303,0.813,6.2,6.1971,19960126,75799.0688,1.8923,14,13.9883,3733441,16707.8345,0.1797,11.15,11.1455,2653076,17471.1462,1.8966,5.91,5.8378,336067,3297.6422
18/5/15,-1.2774,5659.166,-0.764,30.13,30.3231,7456797,157287.3104,-1.3205,88.18,88.7109,599513,41101.1399,-1.1188,57.45,57.692,1283734,105010.5006,-2.0649,82.6463,83.2834,3333524,135090.2002,-0.5172,28.85,28.8292,2234087,36541.8495,-1.0451,31.9931,32.0844,1639117,49995.587,-0.3226,6.18,6.1907,16632989,75554.5556,-0.7143,13.9,13.9714,3239789,16588.4928,-1.7937,10.95,10.9877,3212253,17157.7625,-1.692,5.81,5.8412,319055,3241.8445
19/5/15,-0.7646,5615.497,-1.6595,29.63,29.737,9638112,153293.7749,0.3629,88.5,88.726,877765,41250.2935,0,57.45,57.1026,1805998,102839.1897,-0.1807,82.4969,82.6907,3102111,134846.0613,-2.5997,28.1,28.3546,3947729,35591.8881,-1.7753,31.4252,31.541,3207853,49108.0249,-0.8091,6.13,6.1705,23026077,74943.2728,-0.2878,13.86,13.8452,4808564,16540.7561,-0.8219,10.86,10.886,4181421,17016.7397,-0.3442,5.79,5.7882,433019,3230.685
20/5/15,-0.0925,5610.301,-2.7337,28.82,28.7742,10477872,150659.1519,1.3333,89.68,89.7711,1109962,41800.2974,-2.4717,56.03,56.0369,2539225,103300.0105,-0.4345,82.1384,82.3032,2540308,134260.1279,0.1779,28.15,27.9403,3922979,35655.2188,-0.6406,31.2239,31.1683,2332028,48793.446,0,6.13,6.1481,34934211,74943.2728,1.2987,14.04,14.0414,3524471,16755.5711,0.4604,10.91,10.8819,4043873,17095.0857,-0.3454,5.77,5.7747,321303,3219.5255
21/5/15,0.9263,5662.271,1.4573,29.24,29.0718,7365208,152830.4044,2.1855,91.64,91.135,1174445,42713.8632,1.5527,56.9,56.7368,1323384,104450.6559,1.2971,83.2039,82.5655,2885959,136001.6521,0.746,28.36,28.2651,4281751,35921.208,-0.1612,31.1735,31.1935,2465425,48714.8012,0.8157,6.18,6.1853,32397479,75554.5556,1.0684,14.19,14.1594,4472595,16934.5837,2.3831,11.17,11.1061,4081912,17502.4846,0.5199,5.8,5.7773,626105,3236.3005
22/5/15,0.0437,5664.743,0.0342,29.25,29.341,3843573,152784.0789,-0.5674,91.12,91.2298,740137,42471.4886,-0.2636,56.75,57.0732,903450,104850.5029,-0.5385,82.7558,82.8078,1799946,135269.2354,-0.6347,28.18,28.2167,2386057,35693.2173,-0.0692,31.152,31.1673,1563988,48681.0963,0.3236,6.2,6.2065,16063008,75799.0688,-1.4094,13.99,14.0648,3326866,16695.9003,0.8953,11.27,11.2664,3589287,17659.1765,2.069,5.92,5.8974,146125,3303.2585
25/5/15,1.0015,5721.476,0.7863,29.48,29.4591,3401039,153522.7678,1.8437,92.8,92.5196,872326,43254.545,1.5507,57.63,57.654,1198046,105223.7922,1.0709,83.642,83.5074,1496067,136717.793,1.0646,28.48,28.418,1808356,36073.2019,1.3155,31.5618,31.5502,1591829,49321.4892,1.2903,6.28,6.2664,18925886,76777.1212,1.787,14.24,14.2339,3095143,16994.2545,1.4197,11.43,11.4338,3024869,17909.8835,2.027,6.04,5.9876,606759,3370.2164
26/5/15,0.9072,5773.383,1.1533,29.82,29.7795,4606446,153475.0641,0.7543,93.5,93.3393,740999,43580.8185,1.1452,58.29,58.3238,1150098,105077.5163,0.7619,84.2793,84.1812,2446206,137759.4523,0.1756,28.53,28.5555,2260577,36136.5326,0.41,31.6912,31.7167,1186313,49523.7186,0.1592,6.29,6.2815,8934381,76899.3778,0.3511,14.29,14.3079,3142879,17053.9253,0,11.43,11.4523,3356875,17910.344,-1.6556,5.94,5.9572,327002,3314.4181
27/5/15,-0.8296,5725.253,-1.6097,29.34,29.2375,7665104,152088.4455,-1.1551,92.42,92.7099,1030246,43077.4251,-1.6812,57.31,57.3605,1911293,104816.6342,-0.6026,83.7714,83.7991,2232884,136929.38,-2.068,27.94,28.0366,3238746,35389.2296,-1.5426,31.2023,31.2545,2467471,48759.7411,-1.2719,6.21,6.2239,14464204,75921.3253,0.2099,14.32,14.2922,3903707,17089.7278,0.175,11.45,11.4373,3851511,17941.6832,0.3367,5.96,5.9083,507906,3325.5778
28/5/15,-0.2009,5713.086,-0.4772,29.2,29.138,5728964,151948.9381,0.1948,92.6,92.8736,1031740,43161.324,0.5933,57.65,57.4749,1076350,105614.8039,-0.7488,83.1441,83.2876,2642849,135903.9966,0.2505,28.01,27.918,3642711,35477.8927,0.4608,31.3461,31.2678,1881251,48984.4403,-0.9662,6.15,6.1677,18710181,75187.7859,1.0475,14.47,14.4986,2954800,17268.7403,-0.6987,11.37,11.3876,3472887,17816.3264,-0.3356,5.94,5.9286,447108,3314.4181
29/5/15,1.1248,5777.16,1.3356,29.59,29.4983,16585697,153141.7573,0.9719,93.5,93.5796,1903167,43580.8185,0.954,58.2,58.4029,3024763,104794.1056,1.9042,84.7273,84.865,9138182,138491.8691,-0.0357,28,28.0383,7676075,35465.2266,0.1376,31.3892,31.4323,4848487,49051.8501,1.1382,6.22,6.232,32324036,76043.5819,0.2073,14.5,14.5952,5836702,17304.5428,0.6157,11.44,11.4841,6390414,17926.0136,3.0303,6.12,6.1294,2440122,3414.855
1/6/15,-0.7224,5735.402,-1.3518,29.19,29.0619,5244301,151066.6251,-0.1711,93.34,93.1466,631816,43506.2417,-1.3402,57.42,57.3735,953609,103918.5216,-0.7169,84.1199,83.724,2112931,137499.0375,-1.0714,27.7,27.6473,2718059,35085.242,-1.672,30.8644,30.8524,2061577,48231.6978,-0.3215,6.2,6.1871,13364215,75799.0688,0.069,14.51,14.4501,2739355,17299.4306,-0.8741,11.34,11.3236,3177056,17769.3177,0.817,6.17,6.1699,870886,3442.7542
2/6/15,-1.7288,5636.013,-2.9462,28.33,28.5443,8399462,148668.5536,-0.3107,93.05,93.4779,1173063,43371.0713,-1.6196,56.49,56.6201,1553419,104504.8347,-1.7519,82.6463,83.1291,2623589,135090.2002,-0.6859,27.51,27.5716,2706014,34844.5851,-1.2812,30.469,30.6084,1644106,47613.7748,-0.9677,6.14,6.1692,17146788,75065.5294,-1.3094,14.32,14.4066,2431233,17072.9046,-1.94,11.12,11.2015,4184113,17424.5866,-0.3241,6.15,6.1826,1183804,3431.6257
3/6/15,-0.9298,5583.578,0.706,28.53,28.6233,8765503,148456.7929,-1.6658,91.5,91.4149,1529105,42648.6085,1.7879,57.5,57.6271,2353115,104122.3366,-1.7229,81.2223,81.5876,3741958,132762.7425,-0.5453,27.36,27.4072,3520337,34654.5928,-0.6135,30.282,30.256,2089677,47321.6658,-0.8143,6.09,6.1007,21986463,74454.2466,-1.4665,14.11,14.1105,2621561,16822.5338,-1.0791,11,10.9947,4837318,17236.5515,1.3008,6.23,6.1594,1801527,3476.3324
4/6/15,-1.4199,5504.299,-1.5422,28.09,28.1783,9388727,146136.7654,-1.5519,90.08,90.6596,1603778,41987.3249,-1.3217,56.74,56.877,1687272,104211.5029,-1.2627,80.1967,80.6744,3790942,131086.322,-0.9503,27.1,27.2069,3632409,34325.2729,-1.5907,29.8003,29.916,2530419,46568.9232,-1.4778,6,6.0447,26108721,73353.9375,0.2126,14.14,14.1493,2491387,16858.3011,-0.5455,10.94,11.0291,3513648,17142.534,2.5682,6.39,6.3357,461725,3565.6122
